Time,Acceleration
0,0
0.01,0
0.02,0
0.03,0
0.04,0
0.05,0
0.06,0
0.07,0
0.08,0.0001
0.09,0.0001
0.1,0
0.11,0
0.12,-0.0001
0.13,-0.0001
0.14,-0.0001
0.15,-0.0001
0.16,-0.0001
0.17,-0.0001
0.18,-0.0001
0.19,0.0001
0.2,0.0003
0.21,0.0004
0.22,0.0004
0.23,0.0005
0.24,0.0006
0.25,0.0007
0.26,0.0006
0.27,0.0003
0.28,0
0.29,0.0001
0.3,0.0002
0.31,0.0003
0.32,0.0003
0.33,0
0.34,-0.0006
0.35,-0.001
0.36,-0.0009
0.37,-0.0009
0.38,-0.0008
0.39,-0.0005
0.4,0.0001
0.41,0.0004
0.42,0.0002
0.43,-0.0004
0.44,-0.0009
0.45,-0.001
0.46,-0.0008
0.47,-0.0007
0.48,-0.0001
0.49,0.0009
0.5,0.0019
0.51,0.0029
0.52,0.0034
0.53,0.0034
0.54,0.0031
0.55,0.0026
0.56,0.0013
0.57,-0.0001
0.58,-0.0013
0.59,-0.0017
0.6,-0.0016
0.61,-0.0018
0.62,-0.0018
0.63,-0.0012
0.64,-0.0002
0.65,-0.0002
0.66,-0.0009
0.67,-0.0012
0.68,-0.0007
0.69,-0.0008
0.7,-0.0015
0.71,-0.0023
0.72,-0.004
0.73,-0.0049
0.74,-0.0046
0.75,-0.0034
0.76,-0.0021
0.77,-0.0015
0.78,-0.0006
0.79,0.0007
0.8,0.0006
0.81,-0.0014
0.82,-0.0033
0.83,-0.0043
0.84,-0.0043
0.85,-0.0031
0.86,0.0003
0.87,0.0038
0.88,0.0054
0.89,0.0043
0.9,0.0017
0.91,-0.0009
0.92,-0.0028
0.93,-0.003
0.94,-0.001
0.95,0
0.96,-0.0005
0.97,-0.0022
0.98,-0.0033
0.99,-0.005
1,-0.0082
1.01,-0.0094
1.02,-0.0064
1.03,-0.0023
1.04,0.0007
1.05,0.0043
1.06,0.0075
1.07,0.0091
1.08,0.009
1.09,0.0074
1.1,0.0027
1.11,-0.003
1.12,-0.0083
1.13,-0.0083
1.14,-0.0033
1.15,-0.0016
1.16,-0.0037
1.17,-0.0044
1.18,-0.0022
1.19,-0.0005
1.2,-0.0003
1.21,-0.0013
1.22,-0.001
1.23,-0.0036
1.24,-0.0073
1.25,-0.0119
1.26,-0.0126
1.27,-0.0045
1.28,0.0071
1.29,0.0168
1.3,0.0219
1.31,0.0177
1.32,0.0093
1.33,0.0035
1.34,0.0017
1.35,-0.0007
1.36,-0.0059
1.37,-0.0128
1.38,-0.0196
1.39,-0.0192
1.4,-0.0177
1.41,-0.0158
1.42,-0.0082
1.43,0.0042
1.44,0.0073
1.45,0.0013
1.46,-0.0031
1.47,0
1.48,0.0103
1.49,0.0198
1.5,0.0249
1.51,0.0269
1.52,0.0249
1.53,0.0161
1.54,0.00679
1.55,0.00139
1.56,-0.00171
1.57,-0.00911
1.58,-0.013
1.59,-0.0073
1.6,0.0028
1.61,0.0097
1.62,0.0129
1.63,0.01571
1.64,0.01541
1.65,0.00761
1.66,0.0001
1.67,0.00181
1.68,0.00541
1.69,-0.00057
1.7,-0.00976
1.71,-0.00685
1.72,0.00566
1.73,0.00976
1.74,0.00147
1.75,-0.00653
1.76,-0.00302
1.77,-0.00032
1.78,-0.0057
1.79,-0.01098
1.8,-0.01116
1.81,-0.00444
1.82,0.00518
1.83,0.01139
1.84,0.0141
1.85,0.01211
1.86,0.00292
1.87,-0.00397
1.88,-0.00066
1.89,0.00787
1.9,0.0143
1.91,0.01292
1.92,0.00964
1.93,0.00416
1.94,-0.00342
1.95,-0.01081
1.96,-0.0098
1.97,-0.0046
1.98,-0.0083
1.99,-0.01926
2,-0.02093
2.01,-0.00801
2.02,0.00643
2.03,0.01798
2.04,0.02871
2.05,0.03515
2.06,0.03647
2.07,0.03416
2.08,0.02775
2.09,0.01849
2.1,0.00904
2.11,0.00449
2.12,0.00815
2.13,0.01691
2.14,0.02225
2.15,0.02798
2.16,0.03796
2.17,0.04482
2.18,0.04128
2.19,0.03483
2.2,0.03618
2.21,0.0399
2.22,0.0406
2.23,0.03428
2.24,0.01985
2.25,0.00737
2.26,0.00317
2.27,0.00007
2.28,-0.00124
2.29,-0.00293
2.3,-0.00671
2.31,-0.01539
2.32,-0.02166
2.33,-0.02366
2.34,-0.02134
2.35,-0.01751
2.36,-0.02128
2.37,-0.03748
2.38,-0.06116
2.39,-0.08114
2.4,-0.08951
2.41,-0.08885
2.42,-0.08619
2.43,-0.07879
2.44,-0.05187
2.45,-0.01089
2.46,0.02262
2.47,0.04012
2.48,0.04615
2.49,0.04823
2.5,0.04726
2.51,0.04106
2.52,0.02329
2.53,-0.00173
2.54,-0.03054
2.55,-0.05436
2.56,-0.06825
2.57,-0.07592
2.58,-0.07755
2.59,-0.06737
2.6,-0.04749
2.61,-0.02701
2.62,-0.01176
2.63,0.00312
2.64,0.02433
2.65,0.03986
2.66,0.04242
2.67,0.04158
2.68,0.04715
2.69,0.06333
2.7,0.08042
2.71,0.08571
2.72,0.0757
2.73,0.04708
2.74,0.01279
2.75,-0.00541
2.76,-0.00541
2.77,-0.00921
2.78,-0.03224
2.79,-0.06761
2.8,-0.1056
2.81,-0.13562
2.82,-0.14376
2.83,-0.12922
2.84,-0.10897
2.85,-0.09285
2.86,-0.07435
2.87,-0.04036
2.88,0.00211
2.89,0.03295
2.9,0.03857
2.91,0.04465
2.92,0.05203
2.93,0.04723
2.94,0.0267
2.95,0.00108
2.96,-0.02834
2.97,-0.05556
2.98,-0.06658
2.99,-0.06881
3,-0.06935
3.01,-0.06679
3.02,-0.06532
3.03,-0.06694
3.04,-0.0684
3.05,-0.05838
3.06,-0.03956
3.07,-0.02434
3.08,-0.01921
3.09,-0.02617
3.1,-0.03932
3.11,-0.05275
3.12,-0.05906
3.13,-0.04884
3.14,-0.01852
3.15,0.0266
3.16,0.07541
3.17,0.11601
3.18,0.143
3.19,0.15027
3.2,0.13475
3.21,0.11132
3.22,0.09518
3.23,0.0868
3.24,0.07651
3.25,0.0602
3.26,0.04326
3.27,0.03308
3.28,0.04022
3.29,0.05302
3.3,0.05909
3.31,0.05724
3.32,0.06095
3.33,0.06362
3.34,0.05467
3.35,0.05288
3.36,0.06284
3.37,0.06405
3.38,0.04175
3.39,-0.00277
3.4,-0.04991
3.41,-0.08947
3.42,-0.12272
3.43,-0.14847
3.44,-0.15681
3.45,-0.14925
3.46,-0.14818
3.47,-0.15598
3.48,-0.14215
3.49,-0.08324
3.5,0.00255
3.51,0.08879
3.52,0.16804
3.53,0.22502
3.54,0.25645
3.55,0.26324
3.56,0.25105
3.57,0.22808
3.58,0.19473
3.59,0.15941
3.6,0.11968
3.61,0.07516
3.62,0.02862
3.63,-0.00938
3.64,-0.03473
3.65,-0.04636
3.66,-0.03567
3.67,-0.00986
3.68,0.00585
3.69,-0.00212
3.7,-0.0214
3.71,-0.04508
3.72,-0.07497
3.73,-0.0983
3.74,-0.11025
3.75,-0.12177
3.76,-0.13266
3.77,-0.12014
3.78,-0.07742
3.79,-0.02875
3.8,0.013
3.81,0.05153
3.82,0.08165
3.83,0.10686
3.84,0.11676
3.85,0.11907
3.86,0.112
3.87,0.08491
3.88,0.05423
3.89,0.02064
3.9,-0.00814
3.91,-0.04109
3.92,-0.07449
3.93,-0.09562
3.94,-0.09401
3.95,-0.08861
3.96,-0.10684
3.97,-0.12115
3.98,-0.10435
