Time,Acceleration
0,0
0.01,-0.0012
0.02,-0.0007
0.03,-0.0003
0.04,-0.0004
0.05,-0.0005
0.06,0
0.07,0.0006
0.08,0.0032
0.09,0.0057
0.1,0.0059
0.11,0.0061
0.12,0.0053
0.13,0.0045
0.14,0.0052
0.15,0.0058
0.16,0.0056
0.17,0.0054
0.18,0.0037
0.19,0.0021
0.2,0.0025
0.21,0.003
0.22,0.0038
0.23,0.0046
0.24,0.0043
0.25,0.004
0.26,0.0027
0.27,0.0014
0.28,-0.0012
0.29,-0.0037
0.3,-0.0056
0.31,-0.0075
0.32,-0.0082
0.33,-0.0089
0.34,-0.0084
0.35,-0.0079
0.36,-0.0053
0.37,-0.0026
0.38,0.0002
0.39,0.003
0.4,0.004
0.41,0.0051
0.42,0.0037
0.43,0.0023
0.44,0.0006
0.45,-0.0011
0.46,-0.001
0.47,-0.0009
0.48,-0.0011
0.49,-0.0012
0.5,0.0021
0.51,0.0055
0.52,0.0099
0.53,0.0144
0.54,0.0138
0.55,0.0132
0.56,0.0121
0.57,0.0109
0.58,0.0106
0.59,0.0102
0.6,0.0077
0.61,0.0052
0.62,-0.0006
0.63,-0.0065
0.64,-0.0108
0.65,-0.0152
0.66,-0.0172
0.67,-0.0192
0.68,-0.0203
0.69,-0.0215
0.7,-0.0187
0.71,-0.0159
0.72,-0.0117
0.73,-0.0074
0.74,-0.004
0.75,-0.0006
0.76,0.0028
0.77,0.0063
0.78,0.007
0.79,0.0078
0.8,0.0074
0.81,0.0071
0.82,0.0058
0.83,0.0045
0.84,0.0029
0.85,0.0013
0.86,-0.0009
0.87,-0.003
0.88,-0.0062
0.89,-0.0094
0.9,-0.008
0.91,-0.0065
0.92,0.0009
0.93,0.0084
0.94,0.0154
0.95,0.0223
0.96,0.0204
0.97,0.0185
0.98,0.0168
0.99,0.0151
1,0.013
1.01,0.011
1.02,0.0047
1.03,-0.0017
1.04,-0.0078
1.05,-0.014
1.06,-0.0172
1.07,-0.0204
1.08,-0.0221
1.09,-0.0239
1.1,-0.0276
1.11,-0.0313
1.12,-0.0308
1.13,-0.0304
1.14,-0.0256
1.15,-0.0209
1.16,-0.0114
1.17,-0.0019
1.18,0.0099
1.19,0.0216
1.2,0.0246
1.21,0.0277
1.22,0.0236
1.23,0.0195
1.24,0.0115
1.25,0.0036
1.26,0.0012
1.27,-0.0012
1.28,0.0027
1.29,0.0067
1.3,0.0121
1.31,0.0175
1.32,0.0223
1.33,0.0271
1.34,0.0278
1.35,0.0285
1.36,0.0227
1.37,0.017
1.38,0.0074
1.39,-0.0021
1.4,-0.0028
1.41,-0.0034
1.42,0.0055
1.43,0.0144
1.44,0.0169
1.45,0.0195
1.46,0.014
1.47,0.0086
1.48,0.0005
1.49,-0.0075
1.5,-0.0231
1.51,-0.0388
1.52,-0.0484
1.53,-0.058
1.54,-0.0576
1.55,-0.0572
1.56,-0.0439
1.57,-0.0307
1.58,-0.0167
1.59,-0.0028
1.6,0.0123
1.61,0.0274
1.62,0.0411
1.63,0.0547
1.64,0.058
1.65,0.0612
1.66,0.0497
1.67,0.0382
1.68,0.0202
1.69,0.0021
1.7,-0.004
1.71,-0.0102
1.72,-0.0135
1.73,-0.0169
1.74,-0.0171
1.75,-0.0173
1.76,-0.01839
1.77,-0.01948
1.78,-0.01078
1.79,-0.00207
1.8,0.01574
1.81,0.03364
1.82,0.03585
1.83,0.03796
1.84,0.02677
1.85,0.01558
1.86,-0.00301
1.87,-0.0216
1.88,-0.03479
1.89,-0.04809
1.9,-0.04889
1.91,-0.04958
1.92,-0.04608
1.93,-0.04258
1.94,-0.03158
1.95,-0.02059
1.96,-0.0012
1.97,0.01829
1.98,0.03718
1.99,0.05616
2,0.06045
2.01,0.06473
2.02,0.05411
2.03,0.04349
2.04,0.03188
2.05,0.02035
2.06,0.00632
2.07,-0.00761
2.08,-0.02634
2.09,-0.04508
2.1,-0.04902
2.11,-0.05305
2.12,-0.04119
2.13,-0.02932
2.14,-0.01455
2.15,0.0001
2.16,0.01286
2.17,0.02571
2.18,0.03566
2.19,0.04561
2.2,0.04065
2.21,0.03579
2.22,0.01493
2.23,-0.00584
2.24,-0.0144
2.25,-0.02298
2.26,-0.01825
2.27,-0.01351
2.28,-0.00767
2.29,-0.00185
2.3,-0.00452
2.31,-0.00719
2.32,-0.01034
2.33,-0.0136
2.34,-0.01286
2.35,-0.01211
2.36,-0.00647
2.37,-0.00091
2.38,-0.00104
2.39,-0.00118
2.4,-0.01672
2.41,-0.03225
2.42,-0.02998
2.43,-0.0277
2.44,-0.01401
2.45,-0.00032
2.46,-0.00692
2.47,-0.01342
2.48,-0.03062
2.49,-0.0479
2.5,-0.04409
2.51,-0.04026
2.52,-0.02744
2.53,-0.01462
2.54,0.00429
2.55,0.0232
2.56,0.04565
2.57,0.06817
2.58,0.0755
2.59,0.08296
2.6,0.06432
2.61,0.04579
2.62,0.03385
2.63,0.02179
2.64,0.01954
2.65,0.01721
2.66,0.00228
2.67,-0.01263
2.68,-0.02354
2.69,-0.03454
2.7,-0.03864
2.71,-0.04274
2.72,-0.04513
2.73,-0.04761
2.74,-0.03997
2.75,-0.03236
2.76,-0.00303
2.77,0.02628
2.78,0.05049
2.79,0.07471
2.8,0.06592
2.81,0.05725
2.82,0.02927
2.83,0.00128
2.84,-0.02461
2.85,-0.05053
2.86,-0.06673
2.87,-0.08294
2.88,-0.09274
2.89,-0.10265
2.9,-0.09307
2.91,-0.0834
2.92,-0.06184
2.93,-0.04018
2.94,-0.02202
2.95,-0.00379
2.96,0.01184
2.97,0.02757
2.98,0.04149
2.99,0.05541
3,0.06361
3.01,0.07182
3.02,0.06123
3.03,0.05051
3.04,0.03146
3.05,0.01251
3.06,-0.00162
3.07,-0.01575
3.08,-0.01369
3.09,-0.01163
3.1,0.00753
3.11,0.02658
3.12,0.03991
3.13,0.05324
3.14,0.05543
3.15,0.05755
3.16,0.05409
3.17,0.05055
3.18,0.04461
3.19,0.03866
3.2,0.02461
3.21,0.01052
3.22,-0.01499
3.23,-0.04041
3.24,-0.06134
3.25,-0.08212
3.26,-0.07988
3.27,-0.07752
3.28,-0.0577
3.29,-0.03777
3.3,-0.01966
3.31,-0.00145
3.32,0.02204
3.33,0.04552
3.34,0.0594
3.35,0.07318
3.36,0.06347
3.37,0.05366
3.38,0.04685
3.39,0.04014
3.4,0.04662
3.41,0.05301
3.42,0.05589
3.43,0.05867
3.44,0.05598
3.45,0.05319
3.46,0.04929
3.47,0.04541
3.48,0.03625
3.49,0.027
3.5,0.0098
3.51,-0.0074
3.52,-0.02367
3.53,-0.03981
3.54,-0.05795
3.55,-0.07617
3.56,-0.08679
3.57,-0.0974
3.58,-0.09697
3.59,-0.09658
3.6,-0.09359
3.61,-0.09047
3.62,-0.08276
3.63,-0.075
3.64,-0.06184
3.65,-0.04867
3.66,-0.03819
3.67,-0.02759
3.68,-0.02453
3.69,-0.02135
3.7,-0.01941
3.71,-0.01758
3.72,0.00307
3.73,0.02365
3.74,0.04745
3.75,0.07136
3.76,0.07279
3.77,0.07423
3.78,0.0578
3.79,0.04141
3.8,0.02025
3.81,-0.0009
3.82,-0.00766
3.83,-0.01427
3.84,-0.00859
3.85,-0.00289
3.86,0.00183
3.87,0.00655
3.88,0.0018
3.89,-0.00295
3.9,-0.01049
3.91,-0.01804
3.92,-0.01298
3.93,-0.00801
3.94,0.00996
3.95,0.02783
3.96,0.03609
3.97,0.04427
3.98,0.05463
3.99,0.06497
4,0.0736
4.01,0.08211
4.02,0.06391
4.03,0.04569
4.04,0.02827
4.05,0.01092
4.06,0.01121
4.07,0.01147
4.08,0.01601
4.09,0.02045
4.1,0.02616
4.11,0.03186
4.12,0.03633
4.13,0.04075
4.14,0.02824
4.15,0.01583
4.16,-0.01261
4.17,-0.04099
4.18,-0.06201
4.19,-0.08308
4.2,-0.09006
4.21,-0.09699
4.22,-0.09297
4.23,-0.0889
4.24,-0.07539
4.25,-0.06199
4.26,-0.04099
4.27,-0.02005
4.28,-0.0033
4.29,0.01349
4.3,0.01543
4.31,0.01731
4.32,0.01923
4.33,0.02113
4.34,0.02671
4.35,0.03234
4.36,0.02933
4.37,0.02618
4.38,0.01996
4.39,0.01368
4.4,0.01187
4.41,0.00994
4.42,0.00589
4.43,0.00183
4.44,-0.00879
4.45,-0.01952
4.46,-0.03034
4.47,-0.04106
4.48,-0.04796
4.49,-0.05477
4.5,-0.05904
4.51,-0.06317
4.52,-0.06715
4.53,-0.07098
4.54,-0.05924
4.55,-0.04733
4.56,-0.0154
4.57,0.01663
4.58,0.04562
4.59,0.07471
4.6,0.0828
4.61,0.09108
4.62,0.09166
4.63,0.09224
4.64,0.09214
4.65,0.09213
4.66,0.07367
4.67,0.05525
4.68,0.02388
4.69,-0.00728
4.7,-0.02715
4.71,-0.04704
4.72,-0.05086
4.73,-0.05472
4.74,-0.05571
4.75,-0.05667
4.76,-0.04769
4.77,-0.03878
4.78,-0.02826
4.79,-0.01761
4.8,-0.01573
4.81,-0.01394
4.82,-0.01686
4.83,-0.01991
4.84,-0.02092
4.85,-0.02219
4.86,-0.00974
4.87,0.00263
4.88,0.01602
4.89,0.02955
4.9,0.03168
4.91,0.03367
4.92,0.03145
4.93,0.02904
4.94,0.02612
4.95,0.02296
4.96,0.01928
4.97,0.0155
4.98,0.01024
4.99,0.005
5,0.0045
5.01,0.00393
5.02,0.00231
5.03,0.00056
5.04,-0.016
5.05,-0.03279
5.06,-0.04101
5.07,-0.04922
5.08,-0.04365
5.09,-0.03816
5.1,-0.03406
5.11,-0.02994
5.12,-0.0309
5.13,-0.03183
5.14,-0.03014
5.15,-0.02859
5.16,-0.01541
5.17,-0.00218
5.18,0.01187
5.19,0.02606
5.2,0.03497
5.21,0.04402
5.22,0.05759
5.23,0.07118
5.24,0.09408
5.25,0.11701
5.26,0.12747
5.27,0.13804
5.28,0.11671
5.29,0.09531
5.3,0.05999
5.31,0.02456
5.32,-0.0053
5.33,-0.03518
5.34,-0.0591
5.35,-0.08317
5.36,-0.1016
5.37,-0.12021
5.38,-0.1275
5.39,-0.13488
5.4,-0.13404
5.41,-0.13338
5.42,-0.12332
5.43,-0.11326
5.44,-0.10197
5.45,-0.09079
5.46,-0.08628
5.47,-0.08196
5.48,-0.07886
5.49,-0.07593
